seed,K,rank_constraint,cross_cov_rank,rank_formula,coefficient_rank,factorized_rank,relative_factorization_error,rrr_mse,factored_mse,ols_mse,factorized_loss_gap,rrr_ols_gap
4,32,8,24,8,8,8,1.6500130764281676e-15,25.17468267209032,25.17468267209032,4.257376255497435,0.0,20.917306416592886
4,32,16,24,16,16,16,2.188963429344241e-15,5.632500441814575,5.632500441814576,4.257376255497435,8.881784197001252e-16,1.3751241863171408
4,32,24,24,24,24,24,2.2452783850099384e-15,4.257376255453594,4.257376255453593,4.257376255497435,-8.881784197001252e-16,-4.384048679639818e-11
4,48,2,24,2,2,2,1.0387060001340878e-15,156.70267248964217,156.70267248964217,4.288884136588797,0.0,152.41378835305338
4,48,4,24,4,4,4,1.1863924019025502e-15,81.82705572308367,81.82705572308367,4.288884136588797,0.0,77.53817158649488
4,48,8,24,8,8,8,2.5171604773246275e-15,24.84385471402869,24.84385471402869,4.288884136588797,0.0,20.554970577439896
4,48,16,24,16,16,16,1.840731211785476e-15,5.652536509475801,5.6525365094758016,4.288884136588797,8.881784197001252e-16,1.363652372887004
4,48,24,24,24,24,24,1.8283658076659836e-15,4.288884136599703,4.2888841365997035,4.288884136588797,8.881784197001252e-16,1.0905942815497838e-11
5,2,2,2,2,2,2,6.324605998569791e-16,24.6966796586697,24.6966796586697,24.696679658784607,0.0,-1.149054185134446e-10
5,2,4,2,2,2,2,6.324605998569791e-16,24.6966796586697,24.6966796586697,24.696679658784607,0.0,-1.149054185134446e-10
5,2,8,2,2,2,2,6.324605998569791e-16,24.6966796586697,24.6966796586697,24.696679658784607,0.0,-1.149054185134446e-10
5,2,16,2,2,2,2,6.324605998569791e-16,24.6966796586697,24.6966796586697,24.696679658784607,0.0,-1.149054185134446e-10
5,2,24,2,2,2,2,6.324605998569791e-16,24.6966796586697,24.6966796586697,24.696679658784607,0.0,-1.149054185134446e-10
5,4,2,4,2,2,2,5.326693586310177e-16,465.36629766104375,465.36629766104375,18.685716292108665,0.0,446.68058136893507
5,4,4,4,4,4,4,8.034156984681238e-16,18.685716291818036,18.685716291818036,18.685716292108665,0.0,-2.90629742494275e-10
5,4,8,4,4,4,4,8.034156984681238e-16,18.685716291818036,18.685716291818036,18.685716292108665,0.0,-2.90629742494275e-10
5,4,16,4,4,4,4,8.034156984681238e-16,18.685716291818036,18.685716291818036,18.685716292108665,0.0,-2.90629742494275e-10
